,open,high,low,close,volume,value
2022-10-16 12:54:00,27601000.0,27616000.0,27601000.0,27616000.0,0.12157097,3355670.65937
2022-10-16 12:55:00,27616000.0,27616000.0,27601000.0,27602000.0,0.17874432,4934834.00764
2022-10-16 12:56:00,27615000.0,27616000.0,27602000.0,27602000.0,0.05873816,1622014.1992
2022-10-16 12:57:00,27602000.0,27616000.0,27602000.0,27616000.0,0.41279824,11396100.05826
2022-10-16 12:58:00,27616000.0,27620000.0,27602000.0,27620000.0,1.52638255,42156879.76113
2022-10-16 12:59:00,27619000.0,27621000.0,27601000.0,27620000.0,0.78468353,21667467.93728
2022-10-16 13:00:00,27620000.0,27620000.0,27600000.0,27601000.0,0.49245998,13592452.06802
2022-10-16 13:01:00,27601000.0,27601000.0,27600000.0,27601000.0,0.66553133,18369187.44755
2022-10-16 13:02:00,27601000.0,27611000.0,27601000.0,27611000.0,0.21162236,5843093.72626
2022-10-16 13:03:00,27611000.0,27619000.0,27602000.0,27602000.0,0.15434409,4261714.15843
2022-10-16 13:04:00,27602000.0,27611000.0,27602000.0,27606000.0,0.0645227,1781006.25102
2022-10-16 13:05:00,27606000.0,27621000.0,27603000.0,27621000.0,0.40784922,11259114.44789
2022-10-16 13:06:00,27620000.0,27621000.0,27603000.0,27621000.0,0.15750732,4348601.74963
2022-10-16 13:07:00,27620000.0,27621000.0,27604000.0,27620000.0,0.074274,2051452.70105
2022-10-16 13:08:00,27620000.0,27620000.0,27604000.0,27604000.0,0.69838752,19281709.28738
2022-10-16 13:09:00,27620000.0,27620000.0,27604000.0,27618000.0,0.3669628,10132863.74938
2022-10-16 13:10:00,27618000.0,27620000.0,27618000.0,27618000.0,2.64665669,73095506.95868
2022-10-16 13:11:00,27618000.0,27620000.0,27602000.0,27602000.0,1.31297697,36243932.91114
2022-10-16 13:12:00,27602000.0,27602000.0,27600000.0,27600000.0,0.87373713,24115822.78319
2022-10-16 13:13:00,27600000.0,27603000.0,27600000.0,27603000.0,0.47077213,12993371.38162
2022-10-16 13:14:00,27600000.0,27613000.0,27600000.0,27601000.0,0.4234991,11689896.81965
2022-10-16 13:15:00,27601000.0,27614000.0,27600000.0,27612000.0,1.50572978,41570981.49731
2022-10-16 13:16:00,27600000.0,27618000.0,27600000.0,27618000.0,0.17527632,4839584.63475
2022-10-16 13:17:00,27601000.0,27614000.0,27600000.0,27614000.0,0.13055089,3603801.70371
2022-10-16 13:18:00,27601000.0,27601000.0,27601000.0,27601000.0,0.12161106,3356586.86706
2022-10-16 13:19:00,27601000.0,27618000.0,27601000.0,27601000.0,0.20893423,5766858.34085
2022-10-16 13:20:00,27602000.0,27602000.0,27571000.0,27572000.0,4.07518881,112389805.28802
2022-10-16 13:21:00,27591000.0,27591000.0,27589000.0,27589000.0,0.49484219,13652744.79399
2022-10-16 13:22:00,27589000.0,27589000.0,27575000.0,27588000.0,0.25723059,7094512.65471
2022-10-16 13:23:00,27588000.0,27588000.0,27579000.0,27579000.0,1.40395741,38719893.03449
2022-10-16 13:24:00,27579000.0,27588000.0,27575000.0,27578000.0,0.30651331,8453184.14899
2022-10-16 13:25:00,27589000.0,27589000.0,27587000.0,27587000.0,0.12236123,3375665.69359
2022-10-16 13:26:00,27586000.0,27589000.0,27578000.0,27589000.0,1.41372665,38999906.78287
2022-10-16 13:27:00,27589000.0,27589000.0,27579000.0,27588000.0,0.65468877,18061798.05171
2022-10-16 13:28:00,27588000.0,27588000.0,27580000.0,27584000.0,0.41342501,11404837.33386
2022-10-16 13:29:00,27584000.0,27584000.0,27583000.0,27584000.0,0.15472376,4267844.43583
2022-10-16 13:30:00,27585000.0,27606000.0,27585000.0,27589000.0,0.60866265,16792940.10173
2022-10-16 13:31:00,27606000.0,27611000.0,27589000.0,27606000.0,0.02592064,715336.07726
2022-10-16 13:32:00,27606000.0,27606000.0,27600000.0,27600000.0,0.49904757,13773939.84196
2022-10-16 13:33:00,27606000.0,27618000.0,27606000.0,27615000.0,0.70516008,19471618.12558
2022-10-16 13:34:00,27615000.0,27615000.0,27600000.0,27615000.0,0.57297496,15821278.2709
2022-10-16 13:35:00,27600000.0,27600000.0,27600000.0,27600000.0,0.65693804,18131489.904
2022-10-16 13:36:00,27600000.0,27620000.0,27598000.0,27598000.0,1.61064122,44472858.61495
2022-10-16 13:37:00,27603000.0,27603000.0,27603000.0,27603000.0,0.00571296,157694.83488
2022-10-16 13:38:00,27603000.0,27612000.0,27603000.0,27610000.0,0.38404305,10603223.95412
2022-10-16 13:39:00,27612000.0,27612000.0,27610000.0,27611000.0,0.32696813,9027621.63796
2022-10-16 13:40:00,27611000.0,27612000.0,27610000.0,27610000.0,0.70309297,19412923.56527
2022-10-16 13:41:00,27610000.0,27610000.0,27585000.0,27585000.0,0.81295924,22435608.21413
2022-10-16 13:42:00,27598000.0,27599000.0,27597000.0,27597000.0,0.25354558,6997358.70631
2022-10-16 13:43:00,27597000.0,27597000.0,27585000.0,27586000.0,0.20031802,5526185.60784
2022-10-16 13:44:00,27586000.0,27597000.0,27586000.0,27586000.0,0.20290849,5598706.82962
2022-10-16 13:45:00,27597000.0,27597000.0,27586000.0,27587000.0,0.12362473,3410717.43819
2022-10-16 13:46:00,27587000.0,27597000.0,27585000.0,27586000.0,0.28493395,7860520.64606
2022-10-16 13:47:00,27585000.0,27586000.0,27585000.0,27585000.0,1.12015129,30899434.65191
2022-10-16 13:48:00,27586000.0,27586000.0,27585000.0,27585000.0,0.18683191,5153798.52536
2022-10-16 13:49:00,27586000.0,27586000.0,27584000.0,27585000.0,0.76885228,21209458.36944
2022-10-16 13:50:00,27583000.0,27583000.0,27580000.0,27580000.0,0.2054824,5667273.03666
2022-10-16 13:51:00,27579000.0,27584000.0,27577000.0,27580000.0,0.71888779,19826052.7227
2022-10-16 13:52:00,27577000.0,27584000.0,27577000.0,27584000.0,0.06512007,1795983.74509
2022-10-16 13:53:00,27581000.0,27584000.0,27581000.0,27584000.0,0.28172964,7771192.17123
2022-10-16 13:54:00,27584000.0,27584000.0,27575000.0,27575000.0,1.24033721,34203941.05107
2022-10-16 13:55:00,27577000.0,27584000.0,27577000.0,27584000.0,0.21169125,5838549.70257
2022-10-16 13:56:00,27583000.0,27596000.0,27583000.0,27586000.0,0.44583754,12300406.1979
2022-10-16 13:57:00,27590000.0,27600000.0,27590000.0,27600000.0,0.28122376,7760584.6625
2022-10-16 13:58:00,27590000.0,27603000.0,27590000.0,27603000.0,0.26786805,7392921.07107
2022-10-16 13:59:00,27603000.0,27603000.0,27602000.0,27603000.0,0.50319744,13889639.63
2022-10-16 14:00:00,27603000.0,27603000.0,27602000.0,27603000.0,0.80637543,22258222.21261
2022-10-16 14:01:00,27602000.0,27620000.0,27602000.0,27607000.0,3.2306727,89210902.02303
2022-10-16 14:02:00,27607000.0,27619000.0,27594000.0,27602000.0,1.00377578,27711196.85704
2022-10-16 14:03:00,27602000.0,27613000.0,27594000.0,27596000.0,0.41066711,11334202.01916
2022-10-16 14:04:00,27596000.0,27615000.0,27594000.0,27615000.0,1.05940197,29245341.62678
2022-10-16 14:05:00,27594000.0,27615000.0,27585000.0,27595000.0,1.24790081,34447789.93541
2022-10-16 14:06:00,27594000.0,27617000.0,27594000.0,27602000.0,0.338409,9341543.52947
2022-10-16 14:07:00,27602000.0,27602000.0,27594000.0,27601000.0,0.97926149,27028106.38943
