name_kr,name_en,tradingview_market_code,tradingview_upbit_code,upbit_stock_code,unable_marketwidget
칠리즈,Chiliz,BINANCE:CHZUSD,UPBIT:CHZKRW,KRW-CHZ,FALSE
카바,Kava,BINANCE:KAVAUSD,UPBIT:KAVAKRW,KRW-KAVA,FALSE
카이버네트워크,Kyber Network,BINANCE:KNCUSD,UPBIT:KNCKRW,KRW-KNC,FALSE
캐리프로토콜,Carry Protocol,CRYPTO:CREUSD,UPBIT:CRWKRW,KRW-CRE,TRUE
코박토큰,Cobak Token,CRYPTO:CBKUSD,UPBIT:CBKKRW,KRW-CBK,TRUE
코스모스,Cosmos,COINBASE:ATOMUSD,UPBIT:ATOMKRW,KRW-ATOM,TRUE
쿼크체인,QuarkChain,BINANCE:QKCUSD,UPBIT:QKCKRW,KRW-QKC,FALSE
퀀텀,Qtum,BITTREX:QTUMUSD,UPBIT:QTUMKRW,KRW-QTUM,FALSE
크로노스,Cronos,COINBASE:CROUSD,UPBIT:CROKRW,KRW-CRO,TRUE
테조스,Tezos,KRAKEN:XTZUSD,UPBIT:XTZKRW,KRW-XTZ,FALSE
톤,TON,CRYPTO:TONUSD,UPBIT:TONKRW,KRW-TON,TRUE
트론,TRON,BINANCE:TRXUSD,UPBIT:TRXKRW,KRW-TRX,FALSE
파워렛저,Power ledger,BINANCE:POWRUSD,UPBIT:POWRKRW,KRW-POWR,FALSE
펀디엑스,Pundi X,HITBTC:PUNDIXUSD,UPBIT:PUNDIXKRW,KRW-PUNDIX,FALSE
폴리곤,Polygon or MATIC,COINBASE:MATICUSD,UPBIT:MATICKRW,KRW-MATIC,TRUE
폴리매쉬,Polymesh,BINANCE:POLYXUSD,UPBIT:POLYXKRW,KRW-POLYX,FALSE
폴카닷,Polkadot,BINANCE:DOTUSD,UPBIT:DOTKRW,KRW-DOT,FALSE
플레이댑,PlayDapp,COINBASE:PLAUSD,UPBIT:PLAKRW,KRW-PLA,TRUE
플로우,Flow,HITBTC:FLOWUSD,UPBIT:FLOWKRW,KRW-FLOW,FALSE
피르마체인,FirmaChain,CRYPTO:FCT2USD,UPBIT:FCT2KRW,KRW-FCT2,TRUE
하이브,Hive,BITTREX:HIVEUSD,UPBIT:HIVEKRW,KRW-HIVE,FALSE
하이파이,Hifi Finance,CRYPTO:HIFIUSD,UPBIT:HIFIKRW,KRW-HIFI,TRUE
헌트,HUNT,CRYPTO:HUNTUSD,UPBIT:HUNTKRW,KRW-HUNT,TRUE
헤데라,Hedera,BITTREX:GRSUSD,UPBIT:HBARKRW,KRW-HBAR,FALSE
휴먼스케이프,Humanscape,-,UPBIT:HUMKRW,KRW-HUM,TRUE
