open,high,low,close,volume,ma,rsi,macd,macdsignal,BB_upper,BB_lower
27524000.0,27527000.0,27167000.0,27317000.0,807.03099302,27501200.0,36.751941803243895,,,28632405.61533608,26397894.38466392
27317000.0,28456000.0,27260000.0,27780000.0,1188.36371603,27509800.0,45.79792447345924,,,28370686.63639524,26542413.36360476
27791000.0,29300000.0,27736000.0,29199000.0,2431.52903932,27851200.0,63.17936907380957,,,28463252.38741169,26473647.61258831
29190000.0,29832000.0,29024000.0,29334000.0,2570.54594351,28229600.0,64.35064099819438,-246534.7213889584,-702374.7534984127,28796584.29767642,26267515.70232358
29334000.0,29732000.0,29318000.0,29696000.0,891.8676163,28665200.0,67.34987809992263,-89464.58711263165,-579792.7202212565,29214871.4388355,26058428.5611645
29696000.0,29765000.0,28855000.0,29313000.0,1523.06098565,29064400.0,61.458512111135335,4062.8923017308116,-463021.597716659,29463812.198488638,26030587.801511362
29322000.0,32000000.0,29146000.0,31502000.0,6238.76887173,29808800.0,74.9471480296328,251914.18936652318,-320034.4403000226,30307143.74155887,25637856.25844113
31509000.0,31990000.0,31269000.0,31891000.0,1436.99897278,30347200.0,76.51979065847134,474260.2005783506,-161175.51212434797,31056160.34213005,25391939.65786995
31900000.0,31940000.0,31583000.0,31676000.0,1227.59581991,30815600.0,73.76372687344761,625907.2441137917,-3758.960876720026,31605609.953034442,25300990.046965558
31676000.0,32302000.0,31579000.0,32131000.0,2210.87675355,31302600.0,75.7540022579298,773882.4805690348,151769.32741243095,32170119.14999686,25244380.85000314
32131000.0,32630000.0,31768000.0,31863000.0,2014.93271236,31812600.0,72.27612714920443,859619.4039391689,293339.3427177785,32594762.631413415,25271737.368586585
31875000.0,32650000.0,31616000.0,32609000.0,2168.24340074,32034000.0,75.63004108194959,976505.9461358339,429972.6634013896,33123332.21200426,25235867.78799574
32609000.0,34469000.0,32320000.0,33909000.0,7695.20555299,32437600.0,80.139102014837,1160659.1521744095,576109.9611559936,33835943.03299047,25216756.96700953
33881000.0,33980000.0,32114000.0,32904000.0,2040.56959441,32683200.0,69.44211135069743,1211540.9044590518,703196.1498166053,34229348.39282052,25381551.607179478
32884000.0,32987000.0,31700000.0,32490000.0,1742.25086307,32755000.0,65.55994038034386,1204573.1502152942,803471.549896343,34482595.31652768,25643004.68347232
32491000.0,33000000.0,32000000.0,32429000.0,2205.18943333,32868200.0,64.98348076414142,1180520.657286819,878881.3713744383,34675606.66360628,25947593.33639372
32409000.0,32769000.0,32381000.0,32735000.0,802.63812114,32893400.0,66.57138740627313,1172633.1410917267,937631.725317896,34879325.21647183,26243674.78352817
32735000.0,32895000.0,32225000.0,32859000.0,1651.08373492,32683400.0,67.22008861782986,1162981.8604136147,982701.7523370397,35016364.41058072,26643335.589419283
32859000.0,33500000.0,32570000.0,32758000.0,3803.06881161,32654200.0,66.09501883760949,1134109.9811311811,1012983.398095868,35057007.25604243,27134292.74395757
32752000.0,32815000.0,32114000.0,32700000.0,1660.98220748,32696200.0,65.41789477724173,1093938.4519938715,1029174.4088754687,35012439.42776721,27697060.572232794
32700000.0,33000000.0,32483000.0,32511000.0,970.64203949,32712600.0,63.14763729827363,1034921.5735872202,1030323.8418178189,34794955.209868394,28433944.790131606
32505000.0,32680000.0,32307000.0,32428000.0,1315.27809038,32651200.0,62.127951069883466,970268.2178716101,1018312.7170285771,34509808.07514876,29183891.92485124
